,geoID,lat,long
0,00601,18.180555,-66.749961
1,00602,18.361945,-67.175597
2,00603,18.457399,-67.124867
3,00606,18.158327,-66.932928
4,00610,18.29396,-67.127182
5,00611,18.276316,-66.807165
6,00612,18.416727,-66.70009
7,00616,18.420412,-66.671979
8,00617,18.446889,-66.561154
9,00622,17.988103,-67.160357
10,00623,18.084371,-67.158765
11,00624,18.051808,-66.721711
12,00627,18.412507,-66.863811
13,00631,18.184294,-66.830795
14,00636,18.1636,-67.080097
15,00637,18.080103,-66.947975
16,00638,18.280188,-66.513111
17,00641,18.268074,-66.701785
18,00646,18.432897,-66.286499
19,00647,17.963613,-66.947127
20,00650,18.349103,-66.578175
21,00652,18.44844,-66.59411
22,00653,17.988642,-66.90169
23,00656,18.040426,-66.789672
24,00659,18.406773,-66.809288
25,00660,18.134695,-67.116199
26,00662,18.468301,-67.015749
27,00664,18.21033,-66.591616
28,00667,18.003422,-67.03581
29,00669,18.276925,-66.869587
30,00670,18.233585,-66.987585
31,00674,18.424145,-66.487895
32,00676,18.381597,-67.080884
33,00677,18.332568,-67.227022
34,00678,18.430503,-66.930479
35,00680,18.183493,-67.133054
36,00682,18.224864,-67.153891
37,00683,18.1078,-67.037263
38,00685,18.336887,-66.972929
39,00687,18.318017,-66.420392
40,00688,18.382311,-66.626416
41,00690,18.493543,-67.096915
42,00692,18.410652,-66.336202
43,00693,18.425961,-66.398098
44,00694,18.483127,-66.39236
45,00698,18.072916,-66.85119
46,00703,18.248401,-66.130662
47,00704,17.973168,-66.229011
48,00705,18.12896,-66.266691
49,00707,18.014055,-65.920751
50,00714,17.995867,-66.055529
51,00715,17.990485,-66.566143
52,00716,17.985014,-66.606721
53,00717,18.002639,-66.611087
54,00718,18.23201,-65.756036
55,00719,18.28992,-66.25344
56,00720,18.216608,-66.423682
57,00723,18.019337,-66.001862
58,00725,18.220689,-66.03958
59,00727,18.211921,-66.073355
60,00728,17.991071,-66.662968
61,00729,18.334918,-65.887078
62,00730,18.030882,-66.611928
63,00731,18.109947,-66.635622
64,00735,18.251772,-65.666882
65,00736,18.103624,-66.151667
66,00738,18.304458,-65.698711
67,00739,18.175543,-66.162102
68,00740,18.333961,-65.631674
69,00741,18.163855,-65.754042
70,00745,18.352176,-65.810929
71,00751,18.003779,-66.262905
72,00754,18.144582,-65.972253
73,00757,17.991428,-66.402337
74,00765,18.124207,-65.42307
75,00766,18.130718,-66.472244
76,00767,18.069489,-65.896029
77,00769,18.096641,-66.358335
78,00771,18.187148,-65.871189
79,00772,18.438944,-65.90522
80,00773,18.342888,-65.723109
81,00775,18.326608,-65.307769
82,00777,18.224327,-65.909085
83,00778,18.264076,-65.97851
84,00780,18.094076,-66.565781
85,00782,18.224878,-66.224482
86,00783,18.300221,-66.328927
87,00784,18.010714,-66.133615
88,00786,18.135725,-66.228698
89,00791,18.142603,-65.812812
90,00794,18.200018,-66.309282
91,00795,18.04645,-66.495142
92,00802,18.342939,-64.925102
93,00820,17.736627,-64.708215
94,00830,18.338559,-64.73653
95,00840,17.72471,-64.848522
96,00850,17.726822,-64.792245
97,00851,17.747525,-64.787439
98,00901,18.466594,-66.107982
99,00906,18.46446,-66.094995
100,00907,18.452271,-66.087625
101,00909,18.441246,-66.068766
102,00911,18.453738,-66.055689
103,00912,18.445067,-66.059942
104,00913,18.464629,-66.04459
105,00915,18.437179,-66.045571
106,00917,18.420674,-66.050105
107,00918,18.422249,-66.069081
108,00920,18.422439,-66.09214
109,00921,18.392088,-66.087109
110,00923,18.410804,-66.037358
111,00924,18.400422,-66.012567
112,00925,18.400271,-66.05059
113,00926,18.348601,-66.053929
114,00927,18.388202,-66.070033
115,00934,18.413,-66.119829
116,00949,18.409879,-66.227441
117,00950,18.467225,-66.237929
118,00951,18.42805,-66.259772
119,00952,18.428724,-66.188931
120,00953,18.360729,-66.251527
121,00956,18.321137,-66.170419
122,00957,18.366147,-66.188962
123,00959,18.385785,-66.155654
124,00960,18.416918,-66.142693
125,00961,18.409907,-66.163361
126,00962,18.439988,-66.1355
127,00965,18.430508,-66.110917
128,00966,18.397875,-66.113935
129,00968,18.406063,-66.101232
130,00969,18.366226,-66.110047
131,00971,18.318884,-66.11919
132,00976,18.33618,-65.994101
133,00979,18.438359,-65.999169
134,00982,18.408744,-65.991273
135,00983,18.41722,-65.981317
136,00985,18.410774,-65.947927
